name,channel,handle,url,category,label,rank
"Schüßler, Claudia",instagram,claudiaschuesslerspd,https://www.instagram.com/claudiaschuesslerspd/,Politician,SPD,2485
"Schüßler, Claudia",tiktok,@claudiaschuessler1,https://www.tiktok.com/@claudiaschuessler1,Politician,SPD,
"Schütze, Annette",facebook,schuetzespd,https://www.facebook.com/schuetzespd,Politician,SPD,2439
"Schütze, Annette",instagram,schuetze.annette,https://www.instagram.com/schuetze.annette/,Politician,SPD,2486
"Seebeck, Claus",x,claus_seebeck,https://www.x.com/claus_seebeck,Politician,CDU,
"Seebeck, Claus",facebook,Kommunalpolitikmitherz,https://www.facebook.com/Kommunalpolitikmitherz/,Politician,CDU,2482
"Seebeck, Claus",instagram,clausseebeck,https://www.instagram.com/clausseebeck/,Politician,CDU,2487
"Seebeck, Claus",tiktok,@clausseebeck,https://www.tiktok.com/@clausseebeck,Politician,CDU,
"Siebels, Wiard",facebook,wiard.siebels,https://www.facebook.com/wiard.siebels,Politician,SPD,
"Siebels, Wiard",instagram,wiardsiebels,https://www.instagram.com/wiardsiebels/,Politician,SPD,
"Siebels, Wiard",tiktok,@wiardsiebels,https://www.tiktok.com/@wiardsiebels,Politician,SPD,
"Thiele, Ulf",x,thiele_ulf,https://www.x.com/thiele_ulf,Politician,CDU,
"Thiele, Ulf",facebook,IhrAbgeordneterImLandtagNiedersachsen,https://www.facebook.com/IhrAbgeordneterImLandtagNiedersachsen,Politician,CDU,1447
"Thiele, Ulf",instagram,ulf_thiele,https://www.instagram.com/ulf_thiele/,Politician,CDU,2488
"Thiemann, Colette Christin",x,ColetteThiemann,https://www.x.com/ColetteThiemann,Politician,CDU,
"Thiemann, Colette Christin",facebook,colette.thiemann,https://www.facebook.com/colette.thiemann,Politician,CDU,
"Thiemann, Colette Christin",instagram,colettechristin,https://www.instagram.com/colettechristin/,Politician,CDU,
"Thümler, Björn",facebook,bjoern.thuemler,https://www.facebook.com/bjoern.thuemler,Politician,CDU,
"Thümler, Björn",instagram,bjoern.thuemler,https://www.instagram.com/bjoern.thuemler/,Politician,CDU,2489
"Tippelt, Sabine",facebook,Tippelt.Sabine,https://www.facebook.com/Tippelt.Sabine,Politician,SPD,640
"Toepffer, Dirk",x,DirkToepffer,https://www.x.com/DirkToepffer,Politician,CDU,
