Rank,Account Handle,URL
170,K-TV katholisches Fernsehen,https://www.facebook.com/220746807998267
171,"Andreas Mayer, AfD",https://www.facebook.com/113508481602419
172,SWR Aktuell,https://www.facebook.com/112906815414721
173,Peter Boehringer,https://www.facebook.com/1534799293402291
174,neues deutschland,https://www.facebook.com/118757641536297
175,Martin Reichardt,https://www.facebook.com/1783417735277557
176,Christian Jung,
177,Prof. Michael Kaufmann,https://www.facebook.com/212830898880956
178,Stuttgarter Zeitung,https://www.facebook.com/129349103260
179,SWR3,https://www.facebook.com/61869322329
180,Wolfsburger Nachrichten,https://www.facebook.com/179387102145844
181,Chantal Kopf,https://www.facebook.com/104440024870878
182,NachDenkSeiten,https://www.facebook.com/215636828626
183,Aydan Özoguz,https://www.facebook.com/314261885329155
184,Galileo,https://www.facebook.com/57541544534
185,BayernSPD,https://www.facebook.com/305250279569563
186,Rosa-Luxemburg-Stiftung,https://www.facebook.com/134483979119
187,Hamburger Senat,https://www.facebook.com/724321677713043
188,newstime,https://www.facebook.com/171663852895480
189,Sascha Lienesch MdL,https://www.facebook.com/335535756580162
190,Bernd Gögel - AfD,https://www.facebook.com/527594970784442
191,Heilbronner Stimme,https://www.facebook.com/141931462525928
192,GoldStar TV,https://www.facebook.com/110203651883
193,WDR 3,https://www.facebook.com/145008745706730
194,Süddeutsche Zeitung,https://www.facebook.com/215982125159841
195,Radio Herne,https://www.facebook.com/228084332684
196,Radio Lippewelle Hamm,https://www.facebook.com/278973041588
197,Dr. Daniela Sommer,https://www.facebook.com/650245871668771
198,Gutmenschen Trollkommando,
199,AfD-Fraktion Hamburg,https://www.facebook.com/948945635150056
200,Berliner Zeitung,https://www.facebook.com/137267732953826
201,klagemauer.TV,https://www.facebook.com/525920087456649
202,Fraktion Die Linke im Landtag von Sachsen-Anhalt,
203,Jan-Phillip Tadsen - MdL,https://www.facebook.com/106078808429797
204,"Bastian Treuheit, MdB",
205,Dr. Dirk Spaniel,https://www.facebook.com/1801375653478633
206,Gewerkschaft der Polizei - GdP Berlin,https://www.facebook.com/959546790849258
207,Kay Gottschalk,https://www.facebook.com/578990648975282
208,auto motor und sport,https://www.facebook.com/99610948404
209,Promiflash,https://www.facebook.com/106599806045924
210,Richard Graupner,https://www.facebook.com/444299419349774
211,ran,https://www.facebook.com/322645129447
212,FDP-Landtagsfraktion NRW,https://www.facebook.com/357029895386
213,Uwe Schulz,https://www.facebook.com/1167700783325442
214,Senatskanzlei Berlin,https://www.facebook.com/126188121409586
215,AfD Kreisverband Frankfurt am Main,https://www.facebook.com/1598796167053270
216,Barbara Benkstein AfD,
217,BÜNDNIS 90/DIE GRÜNEN,https://www.facebook.com/47217143218
218,NDR 2,https://www.facebook.com/60365300221
219,"Peter Felser, AfD",https://www.facebook.com/225499161202327
220,Diana Stöcker,https://www.facebook.com/100373758774406
221,heise online,https://www.facebook.com/333992367317
222,Klimaschutzministerium RLP,https://www.facebook.com/287620881589935
223,Bernd Rützel,https://www.facebook.com/701570419910290
224,ARD Food,
225,Motorvision TV,https://www.facebook.com/381569535034
226,Klaus Holetschek,https://www.facebook.com/515285941922173
227,AfD-Fraktion im Bayerischen Landtag,https://www.facebook.com/2158012137543502
228,Linda Teuteberg,https://www.facebook.com/206642169865571
229,ARD GESUND,
230,Dr. Markus Reichel,https://www.facebook.com/101366211961573
231,FDP Brandenburg,https://www.facebook.com/210778952288250
232,Melanie Huml,https://www.facebook.com/369808499805109
233,Nürnberger Nachrichten,https://www.facebook.com/177750712241837
234,Birgit Bessin,https://www.facebook.com/272503402909141
235,Lübecker Nachrichten Online,https://www.facebook.com/373673517230
236,Jens Peick,https://www.facebook.com/105997131335760
237,WA,https://www.facebook.com/206555127883
238,Helge Lindh,https://www.facebook.com/339094399790397
239,mittelhessen.de,https://www.facebook.com/115345361858054
240,Rhein-Neckar-Zeitung,https://www.facebook.com/103370823087899
241,ClipMyHorse.TV Deutschland,https://www.facebook.com/161635353394
242,Konstantin von Notz,https://www.facebook.com/1057395874293125
243,Kerstin Griese,https://www.facebook.com/267441470338062
244,NWZonline,https://www.facebook.com/216393369120
245,Epoch Times Panorama,https://www.facebook.com/1585261178394358
246,Dennis Rohde,https://www.facebook.com/435851583129781
247,stern,https://www.facebook.com/78766664651
248,Bodo Ramelow,https://www.facebook.com/669243103118034
249,Gottfried Curio,https://www.facebook.com/265344823886953
250,buten un binnen,https://www.facebook.com/121584827879518
251,t-online,https://www.facebook.com/24897707939
252,Neue Deister-Zeitung / NDZ,https://www.facebook.com/409564431118
253,ARD Marktcheck,
254,Pierre Lamely - AfD,https://www.facebook.com/104739511934234
255,Dr. Hülya Düber,
256,Roderich Kiesewetter,https://www.facebook.com/652126884801498
